Senhores	Senhores	NP00000	senhores
q	que	CS	que
esta	esta	DD0FS0	este
alma	alma	NCFS000	alma
se	se	CS	se
metese	metesse	VMSI0S0	meter
nella	nela	SPS00+PP3FS000	em+ele
senão	senão	CC	senão
pa	para	SPS00	para
Com	com	SPS00	com
ella	ela	PP3FS000	ele
preseguirem	perseguirem	VMN03P0	perseguir
a	a	SPS00	a
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
	,	Fc	,
e	e	CC	e
q	que	CS	que
por	por	SPS00	por
esta	esta	DD0FS0	este
via	via	NCFS000	via
a	a	PP3FSA00	o
quiriam	queriam	VMII3P0	querer
matar	matar	VMN0000	matar
e	e	CC	e
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	PR0CN000	que
fora	fora	RG	fora
a	a	SPS00	a
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
e	e	CC	e
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
q	que	PR0CN000	que
estava	estava	VMII0S0	estar
na	na	SPS00+DA0FS0	em+o
Cama	cama	NCFS000	cama
e	e	CC	e
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
lovaram	levaram	VMIS3P0	levar
a	a	SPS00	a
qantar	cantar	VMN0000	cantar
a	a	SPS00	a
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
a	a	SPS00	a
Caza	casa	NCFS000	casa
aonde	onde	PA000000	onde
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
estava	estava	VMII0S0	estar
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
Comesara	começara	NCFS000	começara
a	a	SPS00	a
gritar	gritar	VMN0000	gritar
dizendo	dizendo	VMG0000	dizer
q	que	CS	que
via	via	NCFS000	via
huma	uma	DI0FS0	um
sonbra	sombra	NCFS000	sombra
	.	Fp	.
e	E	CC	e
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
q	que	CS	que
se	se	P00CN000	se
calase	calasse	VMSI0S0	calar
ella	ela	PP3FS000	ele
porq	porque	CS	porque
a	a	DA0FS0	o
pesoa	pessoa	NCFS000	pessoa
q	que	CS	que
havia	havia	VMII0S0	haver
de	de	SPS00	de
vir	vir	VMN0000	vir
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
e	e	CC	e
q	que	CS	que
loguo	logo	RG	logo
havia	havia	VMII0S0	haver
de	de	SPS00	de
melhorar	melhorar	VMN0000	melhorar
	.	Fp	.
e	E	CC	e
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
se	se	P00CN000	se
viese	viesse	VMSI0S0	vir
embora	embora	RG	embora
	.	Fp	.
e	E	CC	e
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
q	que	CS	que
estava	estava	VMII0S0	estar
a	à	SPS00+DA0FS0	a+o
noute	noite	NCFS000	noite
a	à	SPS00+DA0FS0	a+o
sua	sua	DP3FS0	seu
porta	porta	NCFS000	porta
e	e	CC	e
q	que	CS	que
viera	viera	VMIM0S0	vir
huma	uma	DI0FS0	um
molher	mulher	NCFS000	mulher
e	e	CC	e
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
não	não	RN	não
a	a	PP3FSA00	o
conhesia	conhecia	VMII0S0	conhecer
e	e	CC	e
q	que	CS	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
	&quot;	VMN0000	&quot;
não	não	RN	não
me	me	PP1CS000	me
conhese	conhece	VMIP3S0	conhecer
	,	Fc	,
Sra	senhora	NP00000	senhor
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
	,	Fc	,
pois	pois	CS	pois
lá	lá	RG	lá
vem	vem	VMIP3S0	vir
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
marido	marido	NCMS000	marido
Corar	curar	VMN0000	curar
aquella	aquela	DD0FS0	aquele
mossa	moça	NCFS000	moça
	&quot;	VMN0000	&quot;
e	e	CC	e
q	que	CS	que
elle	ele	PP3MS000	ele
viera	viera	VMIM0S0	vir
e	e	CC	e
q	que	CS	que
disera	dissera	VMIM0S0	dizer
a	a	SPS00	a
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
	,	Fc	,
quando	quando	CS	quando
elles	eles	SPS00+PP3MP000	de+ele
fosem	fossem	VMSI3P0	ir
a	a	SPS00	a
Caza	casa	NCFS000	casa
desta	desta	SPS00+DD0FS0	de+este
mossa	moça	NCFS000	moça
	,	Fc	,
q	que	CS	que
todos	todos	PI0MP000	todo
lhe	lhe	PP3CSD00	lhe
aviam	haviam	VMII3P0	haver
da	da	SPS00	de
mostrar	mostrar	VMN0000	mostrar
CanrranCa	carranca	NCFS000	carranca
e	e	CC	e
q	que	CS	que
estivera	estivera	VMIM0S0	estar
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
a	a	SPS00	a
Conversar	conversar	VMN0000	conversar
Com	com	SPS00	com
elle	ele	PP3MS000	ele
e	e	CC	e
com	com	SPS00	com
a	a	DA0FS0	o
molher	mulher	NCFS000	mulher
athe	até	SPS00	até
huma	uma	DI0FS0	um
hora	hora	NCFS000	hora
depois	depois	RG	depois
da	da	SPS00+DA0FS0	de+o
meianotnoute	meia-noite	NCFS000	meia-noite
e	e	CC	e
pella	pela	SPS00+DA0FS0	por+o
minhem	manhã	NCFS000	manhã
foram	foram	VMIS3P0	ir
a	a	SPS00	a
Caza	casa	NCFS000	casa
desta	desta	SPS00+DD0FS0	de+este
mossa	moça	NCFS000	moça
e	e	CC	e
q	que	CS	que
todos	todos	PI0MP000	todo
estavam	estavam	VMII3P0	estar
Com	com	SPS00	com
CanrranCas	carrancas	NCFP000	carranca
Com	com	SPS00	com
elles	eles	PP3MP000	ele
mas	mas	CC	mais
	,	Fc	,
Como	como	SPS00	como
o	o	DA0MS0	o
homem	homem	NCMS000	homem
a	a	PP3FSA00	o
tinha	tinha	NCFS000	tinha
ja	já	RG	já
avizado	avizado	VMP00SM	avizar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
q	que	CS	que
as	as	DA0FP0	o
CanrranCas	carrancas	NCFP000	carranca
não	não	RN	não
heram	eram	VSII3P0	ser
Couzas	coisas	NCFP000	coisa
dellas	delas	SPS00+PP3FP000	de+ele
mas	mas	CC	mais
q	que	CS	que
hera	era	VSII0S0	ser
do	do	SPS00+DA0MS0	de+o
mal	mal	NCMS000	mal
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tinham	tinham	VMII3P0	ter
feito	feito	NCMS000	feito
	,	Fc	,
q	que	CS	que
ella	ela	PP3FS000	ele
se	se	P00CN000	se
vinha	vinha	VMII0S0	vir
embora	embora	RG	embora
e	e	CC	e
este	este	DD0MS0	este
homem	homem	NCMS000	homem
q	que	CS	que
disera	dissera	VMIM0S0	dizer
a	a	SPS00	a
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
q	que	CS	que
ella	ela	PP3FS000	ele
avia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
dormir	dormir	VMN0000	dormir
aquela	aquela	DD0FS0	aquele
noute	noite	NCFS000	noite
a	a	SPS00	a
sua	sua	DP3FS0	seu
quinta	quinta	NCFS000	quinta
e	e	CC	e
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
vise	visse	VMSI0S0	ver
não	não	RN	não
tivese	tivesse	VMSI0S0	ter
medo	medo	NCMS000	medo
porq	porque	CS	porque
atam	então	RG	então
não	não	RN	não
obrava	obrava	VMII0S0	obrar
a	a	DA0FS0	o
Cura	cura	NCFS000	cura
e	e	CC	e
q	que	CS	que
ella	ela	PP3FS000	ele
avia	havia	VMII0S0	haver
de	de	SPS00	de
hir	ir	VMN0000	ir
dormir	dormir	VMN0000	dormir
pa	para	SPS00	para
ella	ela	PP3FS000	ele
	,	Fc	,
q	que	CS	que
ninguem	ninguém	PI0NN00N	ninguém
fose	fosse	VMSI0S0	ir
Com	com	SPS00	com
ella	ela	PP3FS000	ele
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
fora	fora	RG	fora
Com	com	SPS00	com
sua	sua	DP3FS0	seu
Thia	tia	NCFS000	tio
dormir	dormir	VMN0000	dormir
aquela	aquela	DD0FS0	aquele
noute	noite	NCFS000	noite
pa	para	SPS00	para
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
quinta	quinta	NCFS000	quinta
e	e	CC	e
q	que	CS	que
vieram	vieram	VMIS3P0	vir
no	no	SPS00+DA0MS0	em+o
outro	outro	DI0MS0	outro
dia	dia	NCMS000	dia
pa	pela	SPS00+DA0FS0	por+o
minhem	manhã	NCFS000	manhã
toda	toda	DI0FS0	todo
tresfogorada	transfigurada	NCFS000	transfigurada
	,	Fc	,
dizendo	dizendo	VMG0000	dizer
q	que	CS	que
não	não	RN	não
avia	havia	VMII0S0	haver
de	de	SPS00	de
tornar	tornar	VMN0000	tornar
a	a	SPS00	a
hir	ir	VMN0000	ir
dormir	dormir	VMN0000	dormir
pa	para	SPS00	para
sua	sua	DP3FS0	seu
quinta	quinta	NCFS000	quinta
porq	porque	CS	porque
seriam	seriam	VSIC3P0	ser
outo	oito	Z	oito
pa	para	SPS00	para
as	as	DA0FP0	o
nove	nove	Z	nove
horas	horas	NCFP000	hora
da	da	SPS00+DA0FS0	de+o
noute	noite	NCFS000	noite
q	que	CS	que
as	as	DA0FP0	o
portas	portas	NCFP000	porta
e	e	CC	e
as	as	DA0FP0	o
ginelas	janelas	NCFP000	janela
se	se	CS	se
lhe	lhe	PP3CSD00	lhe
Cobravam	quebravam	PP3CSD00	lhe
e	e	CC	e
ella	ela	PP3FS000	ele
q	que	CS	que
disera	dissera	VMIM0S0	dizer
q	que	CS	que
se	se	P00CN000	se
Cobrese	quebrasse	VMSI0S0	quebrar
portas	portas	NCFP000	porta
e	e	CC	e
gineilas	janelas	NCFP000	janela
a	a	SPS00	a
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
dava	dava	VMII0S0	dar
diso	disso	SPS00+PD0NN000	de+isso
mas	mas	CC	mais
q	que	CS	que
a	a	DA0FS0	o
Cama	cama	NCFS000	cama
lhe	lhe	PP3CSD00	lhe
não	não	RN	não
cobrase	quebrasse	VMSI0S0	quebrar
e	e	CC	e
q	que	CS	que
	,	Fc	,
Como	como	CS	como
ella	ela	PP3FS000	ele
disera	dissera	VMIM0S0	dizer
estas	estas	DD0FP0	este
palavras	palavras	NCFP000	palavra
	,	Fc	,
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
cahira	caíra	VMIM0S0	cair
a	a	DA0FS0	o
cama	cama	NCFS000	cama
no	no	SPS00+DA0MS0	em+o
cham	chão	NCMS000	chão
e	e	CC	e
o	o	DA0MS0	o
leito	leito	NCMS000	leito
se	se	CS	se
lhe	lhe	PP3CSD00	lhe
Cobrara	quebrava	PP3CSD00	lhe
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
Cahira	caíra	VMIM0S0	cair
hum	um	DI0MS0	um
pedaso	pedaço	NCMS000	pedaço
de	de	SPS00	de
muro	muro	NCMS000	muro
	.	Fp	.
e	E	CC	e
huma	uma	DI0FS0	um
besta	besta	NCFS000	besta
ella	ela	PP3FS000	ele
tinha	tinha	VMII0S0	ter
na	na	SPS00+DA0FS0	em+o
estrivaria	estrebaria	NCFS000	estrebaria
	,	Fc	,
q	que	CS	que
athe	até	SPS00	até
esa	essa	DD0FS0	esse
lhe	lhe	PP3CSD00	lhe
fugira	fugira	VMIM0S0	fugir
	.	Fp	.
e	E	CC	e
dise	disse	VMIS3S0	dizer
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
o	o	DA0MS0	o
homem	homem	NCMS000	homem
	:	Fd	:
	&quot;	VMN0000	&quot;
a	a	SPS00	a
estas	estas	DD0FP0	este
mesmas	mesmas	AQ0FP0	mesmo
horas	horas	NCFP000	hora
q	que	PR0CN000	que
asosedeu	suceder	VMN0000	suceder
isto	isto	PD0NN000	isto
a	a	SPS00	a
esta	esta	DD0FS0	este
mossa	moça	NCFS000	moça
	,	Fc	,
nos	nós	PP1CP000	nós
estamos	estamos	VMIP1P0	estar
a	a	SPS00	a
Rir	rir	VMN0000	rir
e	e	CC	e
a	a	SPS00	a
galhofiar	galhofear	VMN0000	galhofear
	,	Fc	,
mas	mas	CC	mais
q	que	CS	que
tal	tal	RG	tal
estara	estará	VMIF3S0	estar
o	o	DA0MS0	o
Corasam	coração	NCMS000	coração
de	de	SPS00	de
folana	fulana	NCFS000	fulano
	?	Fp	?
	&quot;	VMN0000	&quot;
e	E	CC	e
este	este	DD0MS0	este
homem	homem	NCMS000	homem
q	que	CS	que
disera	dissera	VMIM0S0	dizer
a	a	SPS00	a
esta	esta	DD0FS0	este
gente	gente	NCFS000	gente
q	que	CS	que
mandasem	mandassem	VMSI3P0	mandar
dizer	dizer	VMN0000	dizer
tantas	tantas	DI0FP0	tanto
misas	missas	NCFP000	missa
a	à	SPS00+DA0FS0	a+o
tal	tal	RC	tal
Sra	senhora	NCFS000	senhor
e	e	CC	e
tantas	tantas	DI0FP0	tanto
misas	missas	NCFP000	missa
a	à	SPS00+DA0FS0	a+o
tal	tal	RC	tal
Sra	senhora	NCFS000	senhor
e	e	CC	e
tantas	tantas	DI0FP0	tanto
misas	missas	NCFP000	missa
a	à	SPS00+DA0FS0	a+o
tal	tal	RC	tal
Sra	senhora	NCFS000	senhor
pa	para	SPS00	para
tornarem	tornarem	VMN03P0	tornar
a	a	SPS00	a
por	pôr	VMN0000	pôr
quella	aquela	DD0FS0	aquele
alma	alma	NCFS000	alma
no	no	SPS00+DA0MS0	em+o
progatorio	purgatório	NCMS000	purgatório
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
lugar	lugar	NCMS000	lugar
aonde	onde	PA000000	onde
ella	ela	PP3FS000	ele
estava	estava	VMII0S0	estar
	.	Fp	.
e	E	CC	e
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
q	que	CS	que
ella	ela	PP3FS000	ele
fora	fora	SPS00	fora
Curar	curar	VMN0000	curar
a	a	SPS00	a
manoel	Manuel	NP00000	manuel
de	de	SPS00	de
brito	Brito	NP00000	brito
	,	Fc	,
q	que	PR0CN000	que
mora	mora	VMIP3S0	morar
lá	lá	RG	lá
em	em	SPS00	em
sima	cima	NCFS000	cima
	.	Fp	.
e	E	CC	e
Benta	Benta	NP00000	benta
da	da	SPS00+DA0FS0	de+o
Silva	Silva	NP00000	silva
	,	Fc	,
quando	quando	CS	quando
o	o	PP3MSA00	o
fou	foi	VMIS3S0	ir
Corar	curar	VMN0000	curar
a	a	SPS00	a
elle	ele	PP3MS000	ele
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
lhe	lhe	PP3CSD00	lhe
dise	disse	VMIS3S0	dizer
	,	Fc	,
hiso	isso	PD0NN000	isso
me	me	PP1CS000	me
não	não	RN	não
dise	disse	VMIS3S0	dizer
ella	ela	PP3FS000	ele
	,	Fc	,
mas	mas	CC	mais
diseme	disse-me	VMIS3S0+PP1CS000	dizer+me
ella	ela	PP3FS000	ele
q	que	CS	que
elle	ele	PP3MS000	ele
lhe	lhe	PP3CSD00	lhe
disera	dissera	VMIM0S0	dizer
q	que	CS	que
o	o	PP3MSA00	o
Curase	curasse	VMSI0S0	curar
ella	ela	PP3FS000	ele
mas	mas	CC	mais
q	que	CS	que
fose	fosse	VMSI0S0	ir
por	por	SPS00	por
via	via	NCFS000	via
de	de	SPS00	de
quantos	quantos	PA000000	quanto
diabos	diabos	NCMP000	diabo
estavam	estavam	VMII3P0	estar
no	no	SPS00+DA0MS0	em+o
emferno	inferno	NCMS000	inferno
	.	Fp	.
ella	Ela	PP3FS000	ele
q	que	CS	que
lhe	lhe	PP3CSD00	lhe
Respondera	respondera	VMIM0S0	responder
q	que	CS	que
aRenegava	arrenegara	VMIM0S0	arrenegar
o	o	DA0MS0	o
diabo	diabo	NCMS000	diabo
e	e	CC	e
q	que	CS	que
ella	ela	PP3FS000	ele
não	não	RN	não
Curava	curava	VMII0S0	curar
por	por	SPS00	por
aquela	aquela	DD0FS0	aquele
via	via	NCFS000	via
mas	mas	CC	mais
q	que	CS	que
	,	Fc	,
em	em	SPS00	em
Castiguo	castigo	NCMS000	castigo
daquela	daquela	SPS00+DD0FS0	de+aquele
palavra	palavra	NCFS000	palavra
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
disera	dissera	VMIM0S0	dizer
	,	Fc	,
se	se	CS	se
havia	havia	VMII0S0	haver
de	de	SPS00	de
benzer	benzer	VMN0000	de
elle	ele	PP3MS000	ele
sinco	cinco	Z	cinco
vezes	vezes	NCFP000	vez
antes	antes	RG	antes
q	que	CS	que
ella	ela	PP3FS000	ele
o	o	PP3MSA00	o
comesase	começasse	VMIP3S0	começasser
a	a	SPS00	a
corar	curar	VMN0000	curar
	.	Fp	.
athe	Até	SPS00	até
q	que	CS	que
elle	ele	PP3MS000	ele
se	se	CS	se
não	não	RN	não
benzese	benzesse	RN	não
ella	ela	PP3FS000	ele
o	o	PP3MSA00	o
não	não	RN	não
havia	havia	VMII0S0	haver
de	de	SPS00	de
Curar	curar	VMN0000	curar
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
elle	ele	PP3MS000	ele
se	se	P00CN000	se
benzeu	benzeu	VMIS3S0	benzer
as	as	DA0FP0	o
sinco	cinco	Z	cinco
vezes	vezes	NCFP000	vez
e	e	CC	e
dahi	daí	SPS00+RG	de+aí
ella	ela	PP3FS000	ele
o	o	PP3MSA00	o
Curou	curou	VMIS3S0	curar
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
mandou	mandou	VMIS3S0	mandar
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
mezinha	mezinha	NCFS000	mezinha
da	da	SPS00+DA0FS0	de+o
agoa	água	NCFS000	água
da	da	SPS00+DA0FS0	de+o
murta	murta	NCFS000	murta
	.	Fp	.
Com	Com	SPS00	com
q	que	PR0CN000	que
ella	ela	PP3FS000	ele
não	não	RN	não
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
so	só	RG	só
lhe	lhe	PP3CSD00	lhe
mandara	mandara	VMIM0S0	mandar
fazer	fazer	VMN0000	fazer
mais	mais	CC	mais
algumas	algumas	DI0FP0	algum
mezinhas	mezinhas	NCFP000	mezinha
mas	mas	CC	mais
só	só	RG	só
me	me	PP1CS000	me
dise	disse	VMIS3S0	dizer
q	que	CS	que
elle	ele	PP3MS000	ele
fiquara	ficara	VMIM0S0	ficar
sam	são	AQ0MS0	são
	.	Fp	.
